"SMILES","Melting Point {measured}","UNIT {Melting Point}","Melting Point {measured, converted}","UNIT {Melting Point}"
"CC1CCC1","-161.51 - -161.5","?C","-162.0","Celsius"
"[O-][N+]#N","-90.81 - -90.8","?C","-90.8","Celsius"
"FS(F)(=O)=O","-135.82 - -135.8","?C","-136.0","Celsius"
"CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C","94.75 - 94.8","?C","94.8","Celsius"
"CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12","239.75 - 239.8","?C","240.0","Celsius"
"CN(C)C","-117.08 - -117.0","?C","-117.0","Celsius"
"ClC(Cl)(Cl)Cl","-23.0 - -22.92","?C","-23.0","Celsius"
"C#C","-80.8 - -80.7","?C","-80.8","Celsius"
"CC(Cl)Cl","-97.0 - -96.9","?C","-97.0","Celsius"
"CC(CO)(CO)[N+]([O-])=O","150.0 - 150.1","?C","150.0","Celsius"
"ClC1=CC=CS1","-72.0 - -71.9","?C","-72.0","Celsius"
"CCCOC(=O)CC","-76.0 - -75.9","?C","-76.0","Celsius"
"CC(=C)OC(C)=O","-93.0 - -92.9","?C","-93.0","Celsius"
"CCCOC=O","-93.0 - -92.9","?C","-93.0","Celsius"
"CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O","80.0 - 80.1","?C","80.0","Celsius"
"CCC1=CC(CC)=CC=C1","-84.0 - -83.9","?C","-84.0","Celsius"
"CC(C)=CCCC(C)=O","-67.1 - -67.0","?C","-67.0","Celsius"
"CCC(C)(C)C(C)C","-101.0 - -100.9","?C","-101.0","Celsius"
"CCCC(C)(C)CC","-126.1 - -126.0","?C","-126.0","Celsius"
"CCCCC(C)(C)C","-121.1 - -121.0","?C","-121.0","Celsius"
"CC(=C)C(C)(C)C","-110.0 - -109.9","?C","-110.0","Celsius"
"CCC(CC)C(C)C","-115.0 - -114.9","?C","-115.0","Celsius"
"CCCCSCC","-95.1 - -95.0","?C","-95.0","Celsius"
"CCC1=CC=C(C)C(C)=C1","-67.0 - -66.9","?C","-67.0","Celsius"
"CCC(C)(CC)CC","-91.0 - -90.9","?C","-91.0","Celsius"
"CC(C)CC(C)C(C)C","-128.0 - -127.9","?C","-128.0","Celsius"
"CC(C)CCCC(C)C","-103.0 - -102.9","?C","-103.0","Celsius"
"CC1=C(C)CCCC1","-84.1 - -84.0","?C","-84.0","Celsius"
"CCCC1CCCCC1","-95.0 - -94.9","?C","-95.0","Celsius"
"ClC(Cl)=C(Cl)C(Cl)(Cl)Cl","-73.0 - -72.9","?C","-73.0","Celsius"
"CCC1=CC(CC)=CC(C)=C1","-74.1 - -74.0","?C","-74.0","Celsius"
"CC(C)CC(C)=C","-124.1 - -124.0","?C","-124.0","Celsius"
"CCCC(C)=C(C)C","-115.1 - -115.0","?C","-115.0","Celsius"
"CC(C)C(C)(C)C(C)C","-102.1 - -102.0","?C","-102.0","Celsius"
"CCC1=CCCCC1","-110.0 - -109.9","?C","-110.0","Celsius"
"ClCC1CC1","-91.0 - -90.9","?C","-91.0","Celsius"
"CCC1CCCC1C","-106.0 - -105.9","?C","-106.0","Celsius"
"CC(C)C1CC1","-113.0 - -112.9","?C","-113.0","Celsius"
"CC#CCC(C)C","-93.0 - -92.9","?C","-93.0","Celsius"
"CCC1CCC1","-143.0 - -142.9","?C","-143.0","Celsius"
"CCCC=CC","-141.1 - -141.0","?C","-141.0","Celsius"
"COCCOC(C)=O","-65.1 - -65.0","?C","-65.0","Celsius"
"CCC1=CC=CN=C1","-77.0 - -76.9","?C","-77.0","Celsius"
"C1CCSC1","-96.1 - -96.0","?C","-96.0","Celsius"
"ClCBr","-88.0 - -87.9","?C","-88.0","Celsius"
"CC1CO1","-112.0 - -111.9","?C","-112.0","Celsius"
"CC(=C)C=C","-146.0 - -145.9","?C","-146.0","Celsius"
"CCC(C)OC(C)=O","-99.0 - -98.9","?C","-99.0","Celsius"
"CCCCCCC(=O)OCC","-66.1 - -66.0","?C","-66.0","Celsius"
"CCCC#N","-112.0 - -111.9","?C","-112.0","Celsius"
"CCSCC","-104.0 - -103.9","?C","-104.0","Celsius"
"CCSC","-106.0 - -105.9","?C","-106.0","Celsius"
"CCCCC#C","-132.0 - -131.9","?C","-132.0","Celsius"
"CCCCC#CCC","-104.0 - -103.9","?C","-104.0","Celsius"
"CCC1=CN=C(C)C=C1","-71.0 - -70.9","?C","-71.0","Celsius"
"CCC1=CC=CC=C1Br","-68.0 - -67.9","?C","-68.0","Celsius"
"OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1","186.0 - 186.1","?C","186.0","Celsius"
"CCC1=CC=CC=C1","-95.0 - -94.9","?C","-95.0","Celsius"
"CCCCCl","-123.1 - -123.0","?C","-123.0","Celsius"
"C1CC=CC1","-135.1 - -135.0","?C","-135.0","Celsius"
"CCCCC1=CC=CC=C1","-88.0 - -87.9","?C","-88.0","Celsius"
"COCCO","-85.1 - -85.0","?C","-85.0","Celsius"
"CC1=CC(=O)CC(C)(C)C1","-8.1 - -8.0","?C","-8.05","Celsius"
"BrCCBr","9.9 - 10.0","?C","9.95","Celsius"
"CCCCCCCCCCCCCCC=C","4.0 - 4.1","?C","4.05","Celsius"
"CCCCCCCCCCCCCCC","9.9 - 10.0","?C","9.95","Celsius"
"CC(C)OC(=O)\C=C\C(=O)OC(C)C","2.0 - 2.1","?C","2.05","Celsius"
"CCC1=CC=CC=N1","-63.1 - -63.0","?C","-63.0","Celsius"
"ClCCCBr","-59.0 - -58.9","?C","-59.0","Celsius"
"COC(=O)C(Cl)Cl","-52.0 - -51.9","?C","-52.0","Celsius"
"CC(C1=CC=CC=C1)C1=CC=CC=C1","-18.0 - -17.9","?C","-17.9","Celsius"
"CCC1=CC=C(C)C=C1C","-63.0 - -62.9","?C","-63.0","Celsius"
"CCC(CC)(CC)CC","-33.1 - -33.0","?C","-33.0","Celsius"
"ClC1=CC=CC=C1C=C","-63.1 - -63.0","?C","-63.0","Celsius"
"CCCCCCCCCS","-20.1 - -20.0","?C","-20.1","Celsius"
"CCCCCCCCC(C)C","-49.0 - -48.9","?C","-49.0","Celsius"
"ClS(Cl)(=O)=O","-54.1 - -54.0","?C","-54.0","Celsius"
"NCC1=CN=CC=C1","-21.1 - -21.0","?C","-21.1","Celsius"
"COC(=O)CCl","-32.1 - -32.0","?C","-32.0","Celsius"
"CC(=O)OCCC1=CC=CC=C1","-31.1 - -31.0","?C","-31.1","Celsius"
"CC(C)C1=CC(=CC=C1)C(C)C","-63.1 - -63.0","?C","-63.0","Celsius"
"CC1=CC=CN=C1","-18.1 - -18.0","?C","-18.1","Celsius"
"CCCCCCCCCCCCCCCC","18.0 - 18.1","?C","18.1","Celsius"
"C1CC[C@H]2CCCC[C@H]2C1","-43.0 - -42.9","?C","-43.0","Celsius"
"COC(=O)CC(=O)OC","-62.0 - -61.9","?C","-62.0","Celsius"
"CCC1=CC=C2C=CC=CC2=C1","-7.44999999999999 - -7.34999999999997","?C","-7.4","Celsius"
"CC1CC1","-177.3 - -177.16","?C","-177.0","Celsius"
"[O-][N+](=O)C1=CC(=CC=C1)S(Cl)(=O)=O","60.85 - 61.0","?C","60.9","Celsius"
"CCC1=CC=C(CC)C=C1","-43.0 - -42.83","?C","-42.9","Celsius"
"CC(F)(F)Cl","-131.0 - -130.8","?C","-131.0","Celsius"
"O=C=S","-139.0 - -138.8","?C","-139.0","Celsius"
"CC1CC=CC1","-161.0 - -160.8","?C","-161.0","Celsius"
"CCC1(C)CCCC1","-144.0 - -143.8","?C","-144.0","Celsius"
"CCC1CC1","-149.2 - -149.0","?C","-149.0","Celsius"
"CCC1(C)CC1","-130.2 - -130.0","?C","-130.0","Celsius"
"CC1CC1(C)C","-138.2 - -138.0","?C","-138.0","Celsius"
"CC=CC=C","-141.0 - -140.8","?C","-141.0","Celsius"
"CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=[N+]([O-])C1","236.0 - 236.2","?C","236.0","Celsius"
"CCS","-148.0 - -147.8","?C","-148.0","Celsius"
"CC=C","-185.2 - -185.0","?C","-185.0","Celsius"
"ClC1=C(Cl)C(Cl)=C(C(Cl)=C1Cl)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl","305.8 - 306.0","?C","306.0","Celsius"
"CN1CCN(C)C1=O","8.0 - 8.2","?C","8.1","Celsius"
"CCCCCCCCCCCCCCCCCCBr","28.0 - 28.2","?C","28.1","Celsius"
"CC1=CC=CC(I)=C1","-27.2 - -27.0","?C","-27.1","Celsius"
"O=CN1CCCCC1","-31.0 - -30.8","?C","-30.9","Celsius"
"CCC1=C(C)C=CC=C1C","-16.2 - -16.0","?C","-16.1","Celsius"
"CC1=CC=CC(C)=C1I","11.0 - 11.2","?C","11.1","Celsius"
"CCC(C)(C)C(C)(C)C","-10.0 - -9.8","?C","-9.9","Celsius"
"OCC(F)F","-28.2 - -28.0","?C","-28.1","Celsius"
"[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O","13.8 - 14.0","?C","13.9","Celsius"
"CC1=CC(N)=CC(C)=C1","9.8 - 10.0","?C","9.9","Celsius"
"CC1=C(F)C(F)=C(F)C(F)=C1F","-30.0 - -29.8","?C","-29.9","Celsius"
"CC1=CC=CC=C1C","-25.2 - -25.0","?C","-25.1","Celsius"
"CC(=C)C1=CC=CC=C1","-23.2 - -23.0","?C","-23.1","Celsius"
"CCC1=CC=CC=C1CC","-31.2 - -31.0","?C","-31.1","Celsius"
"CCCCCCCCCCCCCCCCCC","28.0 - 28.2","?C","28.1","Celsius"
"C1COCCO1","11.8 - 12.0","?C","11.9","Celsius"
"OC(=O)C(F)(F)F","-15.2 - -15.0","?C","-15.1","Celsius"
"N#CCC1=CC=CC=C1","-24.0 - -23.8","?C","-23.9","Celsius"
"CC1=CC=C(Cl)C(Cl)=C1","-15.2 - -15.0","?C","-15.1","Celsius"
"ClC1=CC(Cl)=CC=C1","-25.0 - -24.8","?C","-24.9","Celsius"
"OCC1=CC=CC=C1","-15.2 - -15.0","?C","-15.1","Celsius"
"C1C=CC2=CC=CC=C12","-2.0 - -1.8","?C","-1.9","Celsius"
"OC1=CC=CC(=C1)C(F)(F)F","-2.0 - -1.8","?C","-1.9","Celsius"
"CN(C)C(=O)N(C)C","-1.2 - -1.0","?C","-1.1","Celsius"
"CC(Br)C(C)(Br)Br","1.8 - 2.0","?C","1.9","Celsius"
"CC1=CC=CC=C1C1=CC=CC=C1","-0.2 - 0.0","?C","-0.1","Celsius"
"CC(C)(C)C1=CC=CC=C1O","-7.0 - -6.8","?C","-6.9","Celsius"
"OCCC1=CC=CC=N1","-8.0 - -7.8","?C","-7.9","Celsius"
"CCCCCCCCCCCC(=O)OC","5.0 - 5.2","?C","5.1","Celsius"
"CC1=CC=C(C)C(C)=C1C","-6.2 - -6.0","?C","-6.1","Celsius"
"ICCCCI","5.8 - 6.0","?C","5.9","Celsius"
"CCC(=O)C1=CC=C(C)C=C1","7.0 - 7.2","?C","7.1","Celsius"
"CC(C)(C)C1=CC=CC(=N1)C(C)(C)C","2.0 - 2.2","?C","2.1","Celsius"
"CC#CCO","-2.2 - -2.0","?C","-2.1","Celsius"
"C1COCCN1","-5.0 - -4.8","?C","-4.9","Celsius"
"CCC1=CC=C(N)C=C1","-5.0 - -4.8","?C","-4.9","Celsius"
"CCN","-81.2 - -81.0","?C","-81.1","Celsius"
"CCOC(=O)C(C)C","-88.2 - -88.0","?C","-88.1","Celsius"
"CCCC(=O)OCCC(C)C","-73.2 - -73.0","?C","-73.1","Celsius"
"CC(C)COC(C)=O","-99.0 - -98.8","?C","-98.9","Celsius"
"FC1=CC=C(C=C1)C1=CC=CC=C1","74.0 - 74.2","?C","74.1","Celsius"
"C#CC1=CC=CC=C1","-45.0 - -44.8","?C","-44.9","Celsius"
"CCCCC(=O)OCC","-91.2 - -91.0","?C","-91.1","Celsius"
"CCCCCOC(=O)CCC","-73.2 - -73.0","?C","-73.1","Celsius"
"CCC(C)C(C)(C)C","-112.2 - -112.0","?C","-112.0","Celsius"
"CCCC(C)(C)C","-124.0 - -123.8","?C","-124.0","Celsius"
"CCCCC(C)C","-118.2 - -118.0","?C","-118.0","Celsius"
"CC(C)(Cl)Cl","-34.0 - -33.8","?C","-33.9","Celsius"
